artist,title,cosine_sim,in_country
John Legend,Love Me Now,0.02416731169617911,0
Chance The Rapper,I Might Need Security,0.02416916176360213,0
Chris Blue,Money On You,0.024187927984317886,0
The Carters,Boss,0.024191481937834675,0
Rich Homie Quan,Walk Thru,0.02419806102498054,0
Cardi B,Bartier Cardi,0.02422138710098052,0
DJ Khaled,Im The One,0.024241014460240153,0
George Michael,Faith,0.02425200557209235,0
Major Lazer,Powerful,0.02425275715229014,0
The Weeknd,The Hills,0.024273077231083587,0
Demi Lovato,Let It Go,0.0242738633297149,0
Trippie Redd,Topanga,0.024274928480811378,0
Nick Jonas,Close,0.024280311449498937,0
Dae Dae,Wat U Mean,0.024283799643869217,0
Camila Cabello,OMG,0.024285099012221468,0
Gucci Mane,Pussy Print,0.024290451044913317,0
A Boogie Wit da Hoodie,Undefeated,0.024294786789050084,0
Selena Gomez,Same Old Love,0.02430002282009291,0
Kodak Black,Patty Cake,0.0243052193653504,0
Alesso,Heroes,0.024315928987007306,0
Camila Cabello,Havana,0.024318835475099373,0
Migos,Stir Fry,0.024328795148372596,0
Juicy J,Bounce It,0.024368976771327756,0
Ariana Grande,One Last Time,0.024369807701564924,0
Snootie Wild,Made Me,0.02437283161951203,0
Kevin Gates,Really Really,0.024378228770870716,0
Noah Cyrus,Make Me Cry,0.024387518774871653,0
The Weeknd,Call Out My Name,0.02439207027435091,0
Zara Larsson,Aint My Fault,0.024396321141457036,0
Mr Probz,Waves,0.024405228219732074,0
2 Chainz,Bigger than You,0.024409824349813865,0
Kehlani,Gangsta,0.024421295853486135,0
Nicki Minaj,Bed,0.024428831005316322,0
Big Sean,I Dont Fuck With You,0.02443186624445963,0
Tay K,The Race,0.0244396946292092,0
Zedd,Beautiful Now,0.024440668711313857,0
Lil Duval,Smile Bitch,0.024445494692889664,0
Drake,Gods Plan,0.02445378082928942,0
David Bowie,Blackstar,0.024454246547964128,0
Austin Mahone,Mmm Yeah,0.024462519557068862,0
Trippie Redd,Taking A Walk,0.0244688012246893,0
The Carters,Apeshit,0.024479228950574528,0
Daniel Caesar,Best Part,0.02448391115629666,0
Justin Bieber,Children,0.024516587657260593,0
Drake and Future,Big Rings,0.024518990370818346,0
DJ Snake,Taki Taki,0.024520048069248717,0
Bhad Bhabie,Gucci Flip Flops,0.02452421233007719,0
Calvin Harris,Outside,0.024525545645389755,0
Charlie Puth,The Way I Am,0.024565041315399053,0
The Weeknd,Party Monster,0.02457207966193259,0
Justin Bieber,Company,0.024578225290793648,0
Selena Gomez,Back To You,0.024584973853099937,0
Ella Mai,Bood Up,0.024587486550129635,0
Lil Yachty,66,0.02460217649900293,0
Lil Pump,Drug Addicts,0.024610458318488234,0
Kevin Gates,2 Phones,0.024620611560806666,0
Zayn,Let Me,0.024649705372343074,0
Mike WiLL Made It,23,0.024657095858657035,0
The Chainsmokers,Sick Boy,0.024662057783607215,0
Kodak Black,Codeine Dreaming,0.024687003697042846,0
J Cole,Intro,0.02473122126849964,0
YoungBoy Never Broke Again,Diamond Teeth Samurai,0.024737248150381218,0
The Weeknd,Shameless,0.02475536458374973,0
Lil Uzi Vert,444 222,0.024755684294872786,0
Rich Homie Quan,Flex,0.024762043872090342,0
Meek Mill,On The Regular,0.024769751132575884,0
MadeinTYO,Uber Everywhere,0.024784800452502892,0
Ariana Grande,Break Free,0.02479459388252154,0
Beyonce,Dont Hurt Yourself,0.024805144320513107,0
Zara Larsson and MNEK,Never Forget You,0.02480967633300102,0
Trey Songz,Nobody Else But You,0.024813017896145827,0
Chris Brown,Party,0.02481808745203891,0
Chris Brown,Love More,0.024852273598060495,0
Post Malone,Jonestown Interlude,0.02489916591231252,0
twenty one pilots,Jumpsuit,0.024899763004666967,0
Nico and Vinz,Am I Wrong,0.02494239721079867,0
Drake,Get It Together,0.02495431455140085,0
Trippie Redd,Love Scars 3,0.02497150334860813,0
Justin Bieber,Sorry,0.024982218732385358,0
Post Malone,Spoil My Night,0.025014443866576464,0
Shawn Mendes,Youth,0.025014800655817935,0
Drake,Skepta Interlude,0.02501673880386468,0
5 Seconds Of Summer,Want You Back,0.025022799338409896,0
A Ap Rocky,Praise The Lord,0.02502996411251429,0
X Ambassadors,Unsteady,0.025031881547249866,0
Maroon 5,Wait,0.025040871114347964,0
Kanye West and Lil Pump,I Love It,0.025047580678618488,0
Drake and Future,Change Locations,0.025051705907668004,0
6ix9ine,Billy,0.025054943945512612,0
Capital Cities,Safe And Sound,0.025057440856897855,0
Fetty Wap,Again,0.025060807763139875,0
Future,Where Ya At,0.025068620599553403,0
NF,Lie,0.025082710868866508,0
One Direction,Olivia,0.025112512511774522,0
21 Savage and Metro Boomin,X,0.02511759430434909,0
